label,runtime,energy
sp_1740,196.78,47207.348
sp_1725,197.00,45729.386
sp_1665,198.11,43229.970
sp_1605,199.37,40745.496
sp_1545,200.76,38902.698
sp_1485,202.52,37636.628
sp_1425,204.56,36734.566
sp_1365,206.64,36171.352
sp_1305,208.93,35716.512
sp_1245,211.31,35317.694
sp_1185,214.10,35009.122
sp_1125,217.28,35342.944
sp_1065,220.84,35475.220
sp_1005,224.87,35842.598
sp_945,229.49,36049.606
sp_885,234.64,36448
