label,runtime,energy
ep_1740,26.10,3962.230
ep_1725,26.32,3872.300
ep_1665,27.27,3772.580
ep_1605,28.29,3577.660
ep_1545,29.39,3559.398
ep_1485,30.58,3412.964
ep_1425,31.86,3443.264
ep_1365,33.26,3395.104
ep_1305,34.79,3454.170
ep_1245,36.47,3475.004
ep_1185,38.32,3515.078
ep_1125,40.36,3698.128
ep_1065,42.63,3833.246
ep_1005,45.17,3929.342
ep_945,48.04,4098.112

